Data,R*
2020-06-10,0.7241935965999586
2020-06-11,0.7086520590797605
2020-06-12,0.6874728436352867
2020-06-13,0.6574136881315135
2020-06-14,0.6217093773855318
2020-06-15,0.6232683982037001
2020-06-16,0.6256826123924402
2020-06-17,0.6378038055855519
2020-06-18,0.6370010428631255
2020-06-19,0.6179610075616253
2020-06-20,0.6669057030943351
2020-06-21,0.7102107455666758
2020-06-22,0.7074938060968758
2020-06-23,0.70771288838663
2020-06-24,0.6801017748581322
2020-06-25,0.7006716668334236
2020-06-26,0.742863221289612
2020-06-27,0.7029387892429954
2020-06-28,0.7056770274506705
2020-06-29,0.7120415877947939
2020-06-30,0.7052438757603401
2020-07-01,0.7413054290656574
2020-07-02,0.7492564534007577
2020-07-03,0.7817257578807845
2020-07-04,0.8186363721061125
2020-07-05,0.8323734109246842
2020-07-06,0.8525820880804894
2020-07-07,0.885955912861934
2020-07-08,0.851878977034601
2020-07-09,0.8554931777026398
2020-07-10,0.8676424882429588
2020-07-11,0.878539500056887
2020-07-12,0.8646535545622446
2020-07-13,0.8566356379169208
2020-07-14,0.8746476791091552
2020-07-15,0.8913139548981894
2020-07-16,0.9021806468611335
2020-07-17,0.9033918855321684
2020-07-18,0.9063008947556678
2020-07-19,0.9258045575490768
2020-07-20,0.9242265119557886
2020-07-21,0.9314245801992799
2020-07-22,0.9822800223263126
2020-07-23,0.9928677482645261
2020-07-24,0.9839004468849366
2020-07-25,1.0076697411756934
2020-07-26,1.0128546790229567
2020-07-27,1.0182169490253037
2020-07-28,1.0373476681459093
2020-07-29,1.0303165862307464
2020-07-30,0.9818366480211294
2020-07-31,1.0125852583220236
2020-08-01,1.0015491157571639
2020-08-02,0.988797910260754
2020-08-03,0.9890183783734893
2020-08-04,0.9869844080552651
2020-08-05,1.0030537128258799
2020-08-06,1.0478767743809672
2020-08-07,1.050936083489466
2020-08-08,1.0502003383996397
2020-08-09,1.0807117029749524
2020-08-10,1.0889936883860651
2020-08-11,1.106599110906515
2020-08-12,1.1114396018145718
2020-08-13,1.133324624351152
2020-08-14,1.1254865896660857
2020-08-15,1.1366937548959242
2020-08-16,1.1351435785595725
2020-08-17,1.1366459718632986
2020-08-18,1.1372731112616221
2020-08-19,1.1385363857208473
2020-08-20,1.165390388348202
2020-08-21,1.2023762588086113
2020-08-22,1.2503639392962496
2020-08-23,1.2884164128372384
2020-08-24,1.3285075044848456
2020-08-25,1.343752482200801
2020-08-26,1.3869023973399959
2020-08-27,1.4043358230031768
2020-08-28,1.4151884020725405
2020-08-29,1.4142063592475151
2020-08-30,1.4019511023462456
2020-08-31,1.3939971381338119
2020-09-01,1.3925992235244742
